order_id,origin_id,origin_lat,origin_lng,dest_id,dest_lat,dest_lng,trip_distance,start_time,origin_grid_id,dest_grid_id,itinerary_node_list,itinerary_segment_dis_list,trip_time,designed_reward,cancel_prob,selected_mode,mode_prob_SAV,mode_prob_Taxi,mode_prob_Metro,mode_prob_Bus,trip_cost,trip_travel_time,trip_waiting_time,user_gender,user_age,user_income,user_education,user_household_size,user_car_ownership,user_pt_accessibility,user_shared_mobility_freq,user_av_experience,user_sm_experience,user_sm_willingness,user_major,user_region,Gender_encoded,Age_encoded,Income_encoded,Education_encoded,Household_Size_encoded,Car_Ownership_encoded,PT_Accessibility_encoded,Shared_Mobility_Frequency_encoded,AV_Experience_encoded,SM_Experience_encoded,SM_Willingness_encoded,Major_encoded,Region_encoded,source_scenario
1,3834,22.3797795,114.1289211,14424,22.3029379,114.1679667,9.441032183918885,27235,45,54,"[3834, 14424]",[9.44],629.4021455945924,72.63,0.05,SAV,0.4428,0.1558,0.2697,0.1317,20,7,3,Female,25-34,$19800??31100,Some college/Associate,2,Yes,Medium,Rarely,Yes,No,Yes,Engineering/Architecture,New Territories East,0,29,25450,2,2,1,2,1,1,0,1,1,3,Scenario_4.3
2,5107,22.3740183,114.175362,6185,22.2845441,114.1952191,8.920895762,32707,55,53,"[5107, 6185]",[8.92],594.7263842,68.81,0.05,SAV,0.3338,0.1311,0.3458,0.1893,40,16,5,Male,Under 18,$10400??14300,Some college/Associate,2,Yes,Medium,Never,Yes,No,Yes,Engineering/Architecture,Kowloon,1,16,12350,2,2,1,2,0,1,0,1,1,2,Scenario_4.4
3,5940,22.3166559,114.2171733,6612,22.3683093,114.1332951,10.126879868076271,34730,54,45,"[5940, 6612]",[10.13],675.1253245,77.68,0.05,SAV,0.5043,0.1118,0.2297,0.1542,40,16,5,Female,18-24,$19800??31100,Some college/Associate,3,No,Low,Sometimes,Yes,Yes,Yes,Engineering/Architecture,Kowloon,0,21,25450,2,3,0,1,2,1,1,1,1,2,Scenario_4.4
4,1914,22.2839749,114.1911604,9167,22.3077919,114.2284656,4.663051897,34409,53,64,"[1914, 9167]",[4.66],310.8701265,38.01,0.05,SAV,0.1619,0.1765,0.2899,0.3717,40,16,5,Male,25-34,$19800??31100,Bachelor's degree,4,Yes,Medium,Sometimes,No,No,Yes,Other,Hong Kong Island,1,29,25450,3,4,1,2,2,0,0,1,6,1,Scenario_4.4
5,3391,22.4344675,114.1947346,16054,22.3151275,114.2187689,13.498156820573767,27873,56,54,"[3391, 16054]",[13.50],899.8771213715845,124.66,0.05,SAV,0.2399,0.3169,0.2035,0.2398,50,35,3,Male,18-24,$48500 or more,Some college/Associate,4,Yes,Low,Never,Yes,No,Yes,Engineering/Architecture,Hong Kong Island,1,21,60000,2,4,1,1,0,1,0,1,1,1,Scenario_4.2
6,9155,22.3755071,114.1904181,13890,22.4522983,114.1643335,9.456458213194534,29253,55,57,"[9155, 13890]",[9.46],630.4305475463023,73.23,0.05,SAV,0.4833,0.1752,0.2986,0.0429,40,16,5,Female,45-54,$19800??31100,Bachelor's degree,1,Yes,Medium,Sometimes,Yes,No,No,Engineering/Architecture,Kowloon,0,49,25450,3,1,1,2,2,1,0,0,1,2,Scenario_4.4
7,3237,22.5068716,114.1278489,7712,22.3894922,114.1992342,14.972456339587591,25129,48,55,"[3237, 7712]",[14.97],998.163756,91.4,0.05,SAV,0.164,0.0941,0.3885,0.3534,240,40,10,Male,25-34,Less than $10400,High school or below,2,Yes,Medium,Never,Yes,No,Yes,Engineering/Architecture,New Territories East,1,29,5200,1,2,1,2,0,1,0,1,1,3,Scenario_4.1
8,10312,22.3301899,114.1729827,9188,22.3979352,114.1943432,9.171192100008914,26520,54,55,"[10312, 9188]",[9.17],611.4128067,84.79,0.05,SAV,0.5665,0.2177,0.1633,0.0525,40,16,5,Female,35-44,$48500 or more,Some college/Associate,3,Yes,High,Very often,Yes,No,Yes,Business/Finance,Hong Kong Island,0,39,60000,2,3,1,3,4,1,0,1,2,1,Scenario_4.4
9,2729,22.3197496,114.2117736,13513,22.4135718,114.0685004,25.560111960233826,33820,54,36,"[2729, 13513]",[25.56],1704.0074640155883,193.99,0.05,SAV,0.2371,0.1029,0.2712,0.3888,240,40,10,Female,18-24,$10400??14300,Bachelor's degree,4,Yes,High,Never,Yes,No,Yes,Engineering/Architecture,Kowloon,0,21,12350,3,4,1,3,0,1,0,1,1,2,Scenario_4.1
10,3833,22.3735237,114.1220924,10014,22.3564944,114.0940138,3.4528765003869752,22966,45,45,"[3833, 10014]",[3.45],230.19176669246502,27.67,0.05,SAV,0.4525,0.1669,0.2338,0.1468,240,40,10,Female,Under 18,$31100??48500,Bachelor's degree,3,Yes,High,Rarely,Yes,No,No,Social Sciences,Sai Kung,0,16,39800,3,3,1,3,1,1,0,0,3,6,Scenario_4.1
